key,readability_level
prompt__role_playing__deepseek-r1-1.5b,55
prompt__role_playing__deepseek-r1-1.5b,55
prompt__role_playing__deepseek-r1-1.5b,45
prompt__role_playing__deepseek-r1-1.5b,25
prompt__role_playing__deepseek-r1-1.5b,65
prompt__role_playing__deepseek-r1-1.5b,45
prompt__role_playing__deepseek-r1-1.5b,72
prompt__role_playing__deepseek-r1-1.5b,45
prompt__role_playing__deepseek-r1-1.5b,45
prompt__role_playing__deepseek-r1-1.5b,72
prompt__role_playing__deepseek-r1-1.5b,35
prompt__role_playing__deepseek-r1-1.5b,72
prompt__role_playing__deepseek-r1-1.5b,55
prompt__role_playing__deepseek-r1-1.5b,72
prompt__role_playing__deepseek-r1-1.5b,65
prompt__role_playing__deepseek-r1-1.5b,55
prompt__role_playing__deepseek-r1-1.5b,65
prompt__role_playing__deepseek-r1-1.5b,72
prompt__role_playing__deepseek-r1-1.5b,55
prompt__role_playing__deepseek-r1-1.5b,15
prompt__role_playing__deepseek-r1-1.5b,72
