key,readability_level
prompt__full__deepseek-r1-1.5b,50
prompt__full__deepseek-r1-1.5b,15
prompt__full__deepseek-r1-1.5b,5
prompt__full__deepseek-r1-1.5b,65
prompt__full__deepseek-r1-1.5b,35
prompt__full__deepseek-r1-1.5b,65
prompt__full__deepseek-r1-1.5b,15
prompt__full__deepseek-r1-1.5b,15
prompt__full__deepseek-r1-1.5b,5
prompt__full__deepseek-r1-1.5b,10
prompt__full__deepseek-r1-1.5b,15
prompt__full__deepseek-r1-1.5b,55
prompt__full__deepseek-r1-1.5b,5
prompt__full__deepseek-r1-1.5b,55
prompt__full__deepseek-r1-1.5b,10
prompt__full__deepseek-r1-1.5b,10
prompt__full__deepseek-r1-1.5b,65
prompt__full__deepseek-r1-1.5b,5
prompt__full__deepseek-r1-1.5b,5
prompt__full__deepseek-r1-1.5b,75
prompt__full__deepseek-r1-1.5b,15
