correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.5029503232941441,0.0,1.0,0.0
1.0,0.6406047774855209,0.1,0.0,0.0
1.0,0.7213494430429365,0.0,1.0,0.0
1.0,0.5562342197521849,0.0,0.0,0.0
2.0,0.5930852050531571,0.0,0.0,0.0
2.0,0.5918582152580276,0.1,1.0,0.0
4.0,0.3721115352405971,0.2,1.0,1.0
2.0,0.632982352315092,0.7,0.0,0.0
1.0,0.6470863493753974,0.0,0.0,0.0
1.0,0.6069394408889542,0.0,0.0,0.0
1.0,0.5672920353787645,0.0,0.0,0.0
1.0,0.6524255277093506,0.2,0.0,0.0
1.0,0.5798567991704617,0.0,0.0,0.0
2.0,0.4396250514062243,0.0,0.0,0.0
1.0,0.7364820565800446,0.1,1.0,1.0
4.0,0.5569615754921878,0.7,0.0,0.0
1.0,0.6454929704431328,0.7,0.0,0.0
2.0,0.7522173376461831,0.3,1.0,0.0
1.0,0.6118743271850623,0.6,0.0,0.0
1.0,0.7085521709571985,0.0,1.0,0.0
