key,readability_level
vector_rerank__qwen2.5-0.5b__nomic,35
vector_rerank__qwen2.5-0.5b__nomic,15
vector_rerank__qwen2.5-0.5b__nomic,35
vector_rerank__qwen2.5-0.5b__nomic,18
vector_rerank__qwen2.5-0.5b__nomic,38
vector_rerank__qwen2.5-0.5b__nomic,15
vector_rerank__qwen2.5-0.5b__nomic,15
vector_rerank__qwen2.5-0.5b__nomic,15
vector_rerank__qwen2.5-0.5b__nomic,25
vector_rerank__qwen2.5-0.5b__nomic,15
vector_rerank__qwen2.5-0.5b__nomic,25
vector_rerank__qwen2.5-0.5b__nomic,15
vector_rerank__qwen2.5-0.5b__nomic,62
vector_rerank__qwen2.5-0.5b__nomic,35
vector_rerank__qwen2.5-0.5b__nomic,18
vector_rerank__qwen2.5-0.5b__nomic,25
vector_rerank__qwen2.5-0.5b__nomic,55
vector_rerank__qwen2.5-0.5b__nomic,5
vector_rerank__qwen2.5-0.5b__nomic,10
vector_rerank__qwen2.5-0.5b__nomic,15
vector_rerank__qwen2.5-0.5b__nomic,55
