key,readability_level
prompt__role_playing__qwen3-0.6b,45
prompt__role_playing__qwen3-0.6b,55
prompt__role_playing__qwen3-0.6b,65
prompt__role_playing__qwen3-0.6b,65
prompt__role_playing__qwen3-0.6b,55
prompt__role_playing__qwen3-0.6b,45
prompt__role_playing__qwen3-0.6b,72
prompt__role_playing__qwen3-0.6b,65
prompt__role_playing__qwen3-0.6b,72
prompt__role_playing__qwen3-0.6b,65
prompt__role_playing__qwen3-0.6b,85
prompt__role_playing__qwen3-0.6b,65
prompt__role_playing__qwen3-0.6b,72
prompt__role_playing__qwen3-0.6b,65
prompt__role_playing__qwen3-0.6b,45
prompt__role_playing__qwen3-0.6b,55
prompt__role_playing__qwen3-0.6b,55
prompt__role_playing__qwen3-0.6b,72
prompt__role_playing__qwen3-0.6b,45
prompt__role_playing__qwen3-0.6b,65
prompt__role_playing__qwen3-0.6b,65
