correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.7610241721732178,1.0,1.0,0.0
4.5,0.8325512545167582,1.0,1.0,1.0
5.0,0.6265888274662145,1.0,1.0,0.0
5.0,0.7761371387057933,1.0,1.0,1.0
4.0,0.8065791153584653,1.0,1.0,1.0
4.0,0.7125937362273624,1.0,0.0,1.0
2.5,0.8469134344353316,0.7,1.0,0.0
4.5,0.8618208088479584,0.9,1.0,1.0
1.0,0.7982675894125426,0.9,1.0,1.0
1.0,0.8290663561447775,0.8,1.0,1.0
3.0,0.6139069097572831,1.0,1.0,1.0
2.0,0.7642094939845662,0.9,1.0,0.0
1.0,0.586893204698633,0.0,1.0,0.0
4.5,0.8451785150262439,0.9,1.0,0.0
5.0,0.8325202074709407,0.8,0.0,0.0
4.5,0.7757451336374378,0.7,0.0,1.0
2.0,0.7368120597534389,0.8,1.0,1.0
4.0,0.7531937460886765,0.8,1.0,1.0
5.0,0.9999999999999998,0.8,1.0,1.0
5.0,0.9999999999999998,0.8,1.0,1.0
