key,readability_level
bm25__deepseek-r1-1.5b__mxbai,35
bm25__deepseek-r1-1.5b__mxbai,45
bm25__deepseek-r1-1.5b__mxbai,75
bm25__deepseek-r1-1.5b__mxbai,25
bm25__deepseek-r1-1.5b__mxbai,45
bm25__deepseek-r1-1.5b__mxbai,45
bm25__deepseek-r1-1.5b__mxbai,85
bm25__deepseek-r1-1.5b__mxbai,45
bm25__deepseek-r1-1.5b__mxbai,75
bm25__deepseek-r1-1.5b__mxbai,65
bm25__deepseek-r1-1.5b__mxbai,72
bm25__deepseek-r1-1.5b__mxbai,15
bm25__deepseek-r1-1.5b__mxbai,65
bm25__deepseek-r1-1.5b__mxbai,45
bm25__deepseek-r1-1.5b__mxbai,35
bm25__deepseek-r1-1.5b__mxbai,65
bm25__deepseek-r1-1.5b__mxbai,65
bm25__deepseek-r1-1.5b__mxbai,65
bm25__deepseek-r1-1.5b__mxbai,65
bm25__deepseek-r1-1.5b__mxbai,35
bm25__deepseek-r1-1.5b__mxbai,35
