key,readability_level
hybrid__deepseek-r1-1.5b__nomic,55
hybrid__deepseek-r1-1.5b__nomic,72
hybrid__deepseek-r1-1.5b__nomic,65
hybrid__deepseek-r1-1.5b__nomic,25
hybrid__deepseek-r1-1.5b__nomic,45
hybrid__deepseek-r1-1.5b__nomic,65
hybrid__deepseek-r1-1.5b__nomic,72
hybrid__deepseek-r1-1.5b__nomic,55
hybrid__deepseek-r1-1.5b__nomic,35
hybrid__deepseek-r1-1.5b__nomic,65
hybrid__deepseek-r1-1.5b__nomic,65
hybrid__deepseek-r1-1.5b__nomic,65
hybrid__deepseek-r1-1.5b__nomic,72
hybrid__deepseek-r1-1.5b__nomic,65
hybrid__deepseek-r1-1.5b__nomic,55
hybrid__deepseek-r1-1.5b__nomic,65
hybrid__deepseek-r1-1.5b__nomic,35
hybrid__deepseek-r1-1.5b__nomic,65
hybrid__deepseek-r1-1.5b__nomic,25
hybrid__deepseek-r1-1.5b__nomic,65
hybrid__deepseek-r1-1.5b__nomic,55
