correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.7182042499666483,1.0,1.0,1.0
3.0,0.7728455875691015,1.0,1.0,1.0
5.0,0.9983042558231348,1.0,1.0,1.0
4.5,0.9639904089650692,1.0,1.0,1.0
3.0,0.5930852050531571,1.0,0.0,0.0
1.0,0.5561559145955242,0.0,1.0,0.0
5.0,0.9964404036025573,1.0,1.0,1.0
2.0,0.632982352315092,1.0,0.0,0.0
2.0,0.7627942239305939,0.0,1.0,0.0
3.0,0.8526476764128287,1.0,1.0,1.0
2.0,0.9372777377202735,0.0,1.0,0.0
3.0,0.772581844371674,0.0,1.0,1.0
4.0,0.5798567991704617,0.9,1.0,0.0
1.0,0.6179084745360802,0.7,0.0,0.0
1.0,0.5848601410580249,0.8,1.0,0.0
1.0,0.5616901944960456,0.6,1.0,1.0
3.0,0.8620713777795953,0.1,1.0,1.0
3.0,0.7791747633149557,1.0,1.0,1.0
5.0,0.9981231017797354,0.5,1.0,1.0
5.0,0.9999999999999998,0.0,1.0,1.0
