key,readability_level
prompt__full__smollm2-1.7b,78
prompt__full__smollm2-1.7b,45
prompt__full__smollm2-1.7b,65
prompt__full__smollm2-1.7b,35
prompt__full__smollm2-1.7b,65
prompt__full__smollm2-1.7b,35
prompt__full__smollm2-1.7b,10
prompt__full__smollm2-1.7b,65
prompt__full__smollm2-1.7b,45
prompt__full__smollm2-1.7b,65
prompt__full__smollm2-1.7b,72
prompt__full__smollm2-1.7b,55
prompt__full__smollm2-1.7b,55
prompt__full__smollm2-1.7b,55
prompt__full__smollm2-1.7b,55
prompt__full__smollm2-1.7b,45
prompt__full__smollm2-1.7b,35
prompt__full__smollm2-1.7b,72
prompt__full__smollm2-1.7b,35
prompt__full__smollm2-1.7b,75
prompt__full__smollm2-1.7b,45
