correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.6055635390181128,1.0,1.0,1.0
1.0,0.6544799902386623,1.0,0.0,1.0
4.0,0.625266266169481,1.0,1.0,0.0
1.0,0.583183005539769,1.0,0.0,0.0
2.0,0.5986039207253543,0.0,1.0,1.0
3.0,0.5632321407119347,1.0,0.0,0.0
1.0,0.5899048941963586,0.8,0.0,0.0
2.0,0.632982352315092,1.0,0.0,0.0
2.0,0.6399946901830101,0.0,1.0,0.0
3.0,0.8657307652182378,0.0,1.0,1.0
1.0,0.5605409269040449,1.0,1.0,1.0
2.0,0.6829561377978589,0.0,1.0,0.0
2.0,0.5901327432239046,1.0,0.0,1.0
1.0,0.6263892460549929,0.8,0.0,0.0
3.0,0.7375954484135853,0.0,1.0,0.0
4.0,0.8037768163784463,1.0,1.0,1.0
3.0,0.8210416108672522,0.7,1.0,1.0
2.0,0.5891856017950673,1.0,0.0,0.0
1.0,0.6370858330626007,1.0,1.0,1.0
5.0,0.99810886999419,0.8,1.0,1.0
