correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.7243011056131368,1.0,1.0,1.0
2.0,0.7899255463937446,1.0,1.0,1.0
5.0,0.9983042558231348,1.0,1.0,1.0
2.0,0.7567099242112743,0.0,1.0,0.0
4.0,0.6933377056291067,1.0,1.0,1.0
2.0,0.5616600566314054,0.0,0.0,1.0
5.0,0.9758146927057874,0.0,1.0,1.0
5.0,0.9013539669876761,0.0,1.0,1.0
3.0,0.7544635376657012,0.5,1.0,1.0
3.0,0.8526476764128287,1.0,1.0,1.0
1.0,0.5938713779250049,1.0,1.0,0.0
3.0,0.755505004048303,0.8,1.0,1.0
1.0,0.6871745581202021,0.0,1.0,1.0
3.0,0.8144140102616624,0.8,1.0,1.0
1.0,0.5848601410580249,0.8,1.0,0.0
1.0,0.5616901944960456,1.0,1.0,1.0
2.0,0.8215143017898947,0.0,1.0,1.0
2.0,0.7666915393227756,0.9,1.0,1.0
1.0,0.597096076378268,1.0,1.0,0.0
5.0,0.9999999999999998,0.6,1.0,1.0
