correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.5953859710438293,1.0,0.0,0.0
4.0,0.8687944780381619,0.0,1.0,1.0
5.0,0.623578320973844,0.8,0.0,0.0
5.0,0.8111233121901892,0.0,1.0,1.0
2.0,0.7387621090362386,1.0,1.0,0.0
5.0,0.822129278133858,1.0,1.0,1.0
1.0,0.5854147670328902,1.0,0.0,0.0
4.0,0.8581260499024197,0.8,1.0,1.0
4.5,0.8418430651123444,0.0,1.0,0.0
2.0,0.8599885969529149,0.8,1.0,1.0
1.0,0.6205034757567053,0.9,1.0,1.0
1.0,0.6524255277093506,0.8,0.0,0.0
2.0,0.5798567991704617,0.0,0.0,0.0
2.0,0.8145319192149048,1.0,1.0,1.0
4.5,0.8199470386176859,0.9,1.0,1.0
4.0,0.8091385551397482,0.6,1.0,0.0
2.0,0.6050042321338995,1.0,1.0,1.0
4.0,0.7577513212410029,0.9,1.0,1.0
1.0,0.6530418725949603,0.0,1.0,1.0
5.0,0.9999999999999998,0.8,1.0,1.0
