correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.7037690238681477,1.0,1.0,0.0
2.0,0.8013347695701205,0.0,1.0,1.0
2.0,0.8593014119473841,1.0,1.0,0.0
3.0,0.7979677001567091,0.5,1.0,1.0
2.0,0.7735555418894481,0.3,1.0,1.0
2.0,0.7850081145716197,0.0,0.0,0.0
2.0,0.7184771313588688,0.0,0.0,0.0
4.0,0.935609461985333,0.3,1.0,1.0
2.0,0.6121966298507425,0.2,1.0,0.0
1.0,0.8047326980107637,0.8,0.0,0.0
1.0,0.8547589886527023,0.3,1.0,0.0
2.0,0.7596860061194928,0.2,1.0,1.0
2.0,0.7835871142137268,0.7,1.0,0.0
1.0,0.6876096590166118,0.3,0.0,0.0
3.0,0.8252863994221511,0.6,0.0,1.0
1.0,0.7370811720789159,0.7,1.0,0.0
2.0,0.7369660952222694,0.2,1.0,0.0
2.0,0.6870798907391523,0.3,1.0,1.0
1.0,0.636304042691725,0.3,1.0,1.0
2.0,0.882720297655767,0.8,1.0,0.0
