correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.7638765927665329,0.0,1.0,1.0
1.0,0.8663567534025908,1.0,1.0,1.0
0.0,0.7610588755463019,1.0,1.0,1.0
1.0,0.8627264486513638,0.0,1.0,1.0
1.0,0.8920287655526772,1.0,1.0,1.0
1.0,0.9101693008643291,1.0,1.0,1.0
1.0,0.8052492598133826,1.0,1.0,1.0
0.0,0.8885420777348261,1.0,1.0,1.0
1.0,0.8015194497057094,1.0,1.0,1.0
0.0,0.8040154779242923,1.0,1.0,1.0
1.0,0.9575370973303334,0.0,1.0,1.0
1.0,0.8130840056844291,1.0,1.0,1.0
1.0,0.9154200443433974,1.0,1.0,1.0
0.0,0.8027924852468578,1.0,1.0,1.0
1.0,0.8684517567897491,1.0,1.0,1.0
1.0,0.8861795152321894,1.0,1.0,1.0
1.0,0.9064897883655929,1.0,1.0,1.0
1.0,0.812261636170282,0.0,1.0,1.0
1.0,0.9339895308489252,1.0,1.0,1.0
1.0,0.8979765810005336,1.0,1.0,1.0
1.0,0.8886198639378109,1.0,1.0,1.0
