correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.7673649370314772,1.0,1.0,0.0
2.0,0.8260831535034303,0.0,1.0,0.0
2.0,0.782459330145344,0.0,1.0,0.0
2.0,0.44120697045740026,0.0,1.0,0.0
1.0,0.7354668772345958,0.0,1.0,0.0
2.0,0.7275200502580254,0.3,0.0,0.0
1.0,0.7337379244094108,0.1,1.0,0.0
2.0,0.8156067571460751,0.2,1.0,0.0
1.0,0.7526527449516374,0.3,1.0,1.0
1.0,0.6338012066740742,0.3,1.0,0.0
3.0,0.9221801518820413,0.2,1.0,1.0
1.0,0.8605443796033612,0.2,1.0,0.0
1.0,0.7796523768806907,0.6,0.0,0.0
2.0,0.40489706507940043,0.1,1.0,0.0
1.0,0.6906169840333793,0.2,1.0,0.0
2.0,0.7830843405756601,0.2,1.0,1.0
1.0,0.6694171387953093,0.6,0.0,0.0
2.0,0.7580115153237476,0.7,1.0,0.0
1.0,0.6915962840292442,0.2,1.0,1.0
1.0,0.5460473655690965,0.1,0.0,0.0
