correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.7538298724323119,0.3,1.0,0.0
2.5,0.8376577694342165,1.0,1.0,1.0
2.0,0.7931168634856689,1.0,1.0,0.0
5.0,0.8090381120738916,0.0,1.0,1.0
1.0,0.5675892423475072,0.8,1.0,0.0
2.0,0.7884836639579305,0.7,1.0,1.0
4.0,0.7020754376790946,0.8,1.0,1.0
2.0,0.6842070075032255,0.1,1.0,1.0
2.0,0.6948630740213615,0.5,1.0,0.0
1.0,0.8420144390937151,0.6,1.0,1.0
1.0,0.5668045208292012,0.2,1.0,0.0
2.0,0.8320854499859814,0.6,1.0,1.0
1.0,0.7479323407321932,0.7,0.0,0.0
2.0,0.4332366427140867,0.3,1.0,1.0
2.0,0.83933996248998,0.7,0.0,0.0
1.0,0.5616901944960456,0.7,1.0,1.0
2.0,0.7030533208584216,0.1,0.0,0.0
2.0,0.7662444824147632,0.6,1.0,1.0
1.0,0.6313659059791246,0.7,1.0,1.0
5.0,0.9999999999999998,0.6,1.0,1.0
