correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.7472087565124723,1.0,1.0,1.0
2.0,0.8372663321302228,0.0,1.0,1.0
2.0,0.8613053823515892,0.8,1.0,1.0
1.0,0.5791859858285182,0.8,0.0,0.0
2.0,0.7780241000609623,0.0,1.0,0.0
2.0,0.7119824538830198,0.8,1.0,0.0
1.0,0.5854147670328902,0.7,1.0,0.0
4.0,0.8734383352963112,1.0,1.0,1.0
1.0,0.7454496460632086,1.0,1.0,0.0
1.0,0.6155833756937666,1.0,1.0,0.0
1.0,0.585203999005102,0.7,1.0,0.0
3.0,0.8190426401140145,0.8,1.0,1.0
1.0,0.47539751967449567,0.0,0.0,0.0
3.0,0.8072744247399684,1.0,1.0,1.0
1.0,0.5848601410580249,0.2,1.0,1.0
1.0,0.5616901944960456,0.2,1.0,1.0
2.0,0.7193458197138487,0.6,1.0,1.0
4.0,0.7751300955161892,1.0,1.0,1.0
5.0,0.9999999999999998,0.8,0.0,1.0
5.0,0.9999999999999998,1.0,1.0,1.0
