correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.5953859710438293,1.0,0.0,0.0
1.0,0.6406047774855209,1.0,0.0,0.0
4.0,0.623578320973844,1.0,0.0,0.0
2.5,0.8036695639820188,0.8,1.0,1.0
2.0,0.7714508478090708,0.6,1.0,0.0
2.0,0.8183884943411175,0.0,1.0,1.0
2.0,0.7328945987036958,0.8,1.0,0.0
3.0,0.8212437174359768,1.0,1.0,1.0
2.0,0.7646683661799256,0.0,0.0,0.0
1.0,0.849128295863133,0.7,1.0,1.0
3.0,0.9372777377202735,0.8,0.0,0.0
2.0,0.7295190737854615,0.8,1.0,1.0
3.0,0.5798567991704617,0.0,0.0,0.0
2.0,0.7305080543091871,0.8,1.0,0.0
2.0,0.8387482146210649,0.8,1.0,0.0
4.0,0.7887795603799611,0.7,1.0,0.0
1.0,0.6983779411922104,0.2,1.0,0.0
2.0,0.7251478370851236,0.3,1.0,1.0
5.0,0.9981231017797354,0.3,0.0,0.0
5.0,0.9981231017797354,0.6,0.0,0.0
