correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.5953859710438293,1.0,1.0,0.0
5.0,0.8910155730748068,1.0,1.0,1.0
4.5,0.9751096534725272,1.0,1.0,1.0
4.0,0.9639904089650692,1.0,1.0,1.0
1.0,0.5972558348277559,1.0,1.0,1.0
4.0,0.8894560225353964,0.8,1.0,1.0
5.0,0.9964404036025573,0.9,1.0,1.0
2.0,0.632982352315092,1.0,0.0,0.0
1.0,0.638894819564791,1.0,0.0,0.0
2.0,0.8405376920397705,0.8,1.0,1.0
3.0,0.9372777377202735,0.8,0.0,1.0
3.0,0.7962576936723063,0.0,1.0,1.0
1.0,0.7349508822877441,0.0,1.0,0.0
1.0,0.6179084745360802,0.9,1.0,1.0
1.0,0.5770329755786084,1.0,0.0,0.0
3.0,0.7875251483988572,0.0,1.0,1.0
2.0,0.8620713777795953,0.0,1.0,1.0
3.0,0.7263158313342001,0.8,1.0,1.0
1.0,0.6210221941168259,0.0,1.0,0.0
5.0,0.9999999999999998,0.0,1.0,0.0
