key,readability_level
prompt__full__qwen3-0.6b,72
prompt__full__qwen3-0.6b,65
prompt__full__qwen3-0.6b,45
prompt__full__qwen3-0.6b,65
prompt__full__qwen3-0.6b,65
prompt__full__qwen3-0.6b,65
prompt__full__qwen3-0.6b,85
prompt__full__qwen3-0.6b,78
prompt__full__qwen3-0.6b,65
prompt__full__qwen3-0.6b,85
prompt__full__qwen3-0.6b,78
prompt__full__qwen3-0.6b,65
prompt__full__qwen3-0.6b,72
prompt__full__qwen3-0.6b,85
prompt__full__qwen3-0.6b,65
prompt__full__qwen3-0.6b,55
prompt__full__qwen3-0.6b,65
prompt__full__qwen3-0.6b,55
prompt__full__qwen3-0.6b,65
prompt__full__qwen3-0.6b,85
prompt__full__qwen3-0.6b,65
