key,readability_level
prompt__role_playing__qwen2.5-0.5b,72
prompt__role_playing__qwen2.5-0.5b,45
prompt__role_playing__qwen2.5-0.5b,35
prompt__role_playing__qwen2.5-0.5b,35
prompt__role_playing__qwen2.5-0.5b,85
prompt__role_playing__qwen2.5-0.5b,65
prompt__role_playing__qwen2.5-0.5b,85
prompt__role_playing__qwen2.5-0.5b,45
prompt__role_playing__qwen2.5-0.5b,35
prompt__role_playing__qwen2.5-0.5b,65
prompt__role_playing__qwen2.5-0.5b,65
prompt__role_playing__qwen2.5-0.5b,45
prompt__role_playing__qwen2.5-0.5b,35
prompt__role_playing__qwen2.5-0.5b,45
prompt__role_playing__qwen2.5-0.5b,65
prompt__role_playing__qwen2.5-0.5b,45
prompt__role_playing__qwen2.5-0.5b,72
prompt__role_playing__qwen2.5-0.5b,35
prompt__role_playing__qwen2.5-0.5b,65
prompt__role_playing__qwen2.5-0.5b,72
