key,readability_level
vector_rerank__deepseek-r1-1.5b__nomic,35
vector_rerank__deepseek-r1-1.5b__nomic,95
vector_rerank__deepseek-r1-1.5b__nomic,45
vector_rerank__deepseek-r1-1.5b__nomic,35
vector_rerank__deepseek-r1-1.5b__nomic,35
vector_rerank__deepseek-r1-1.5b__nomic,65
vector_rerank__deepseek-r1-1.5b__nomic,65
vector_rerank__deepseek-r1-1.5b__nomic,55
vector_rerank__deepseek-r1-1.5b__nomic,25
vector_rerank__deepseek-r1-1.5b__nomic,35
vector_rerank__deepseek-r1-1.5b__nomic,65
vector_rerank__deepseek-r1-1.5b__nomic,35
vector_rerank__deepseek-r1-1.5b__nomic,45
vector_rerank__deepseek-r1-1.5b__nomic,65
vector_rerank__deepseek-r1-1.5b__nomic,65
vector_rerank__deepseek-r1-1.5b__nomic,65
vector_rerank__deepseek-r1-1.5b__nomic,15
vector_rerank__deepseek-r1-1.5b__nomic,45
vector_rerank__deepseek-r1-1.5b__nomic,65
vector_rerank__deepseek-r1-1.5b__nomic,45
vector_rerank__deepseek-r1-1.5b__nomic,45
